Time[s], Channel 1
1.381249125, 1
1.3812624375, 0
1.3812755625, 1
1.3812888125, 0
1.3813019375, 1
1.38131525, 0
1.381328375, 1
1.3813416875, 0
1.3813548125, 1
1.3813680625, 0
1.3813811875, 1
1.3813945, 0
1.381407625, 1
1.3814209375, 0
1.3814340625, 1
1.3814473125, 0
1.3814604375, 1
1.38147375, 0
1.381486875, 1
1.3815001875, 0
1.3815133125, 1
1.3815265625, 0
1.3815396875, 1
1.381553, 0
1.381566125, 1
1.381579375, 0
1.3815925625, 1
1.3816058125, 0
1.3816189375, 1
1.38163225, 0
1.381645375, 1
1.381658625, 0
1.3816718125, 1
1.3816850625, 0
1.3816981875, 1
1.3817115, 0
1.381724625, 1
1.381737875, 0
1.381751, 1
1.3817643125, 0
1.3817774375, 1
1.38179075, 0
1.381803875, 1
1.381817125, 0
1.38183025, 1
1.3818435625, 0
1.3818566875, 1
1.38187, 0
1.381883125, 1
1.381896375, 0
1.3819095, 1
1.3819228125, 0
1.3819359375, 1
1.3819491875, 0
1.381962375, 1
1.381975625, 0
1.38198875, 1
1.3820020625, 0
1.3820151875, 1
1.3820284375, 0
1.38248325, 1
1.3824965625, 0
1.3825096875, 1
1.3825229375, 0
1.3825360625, 1
1.382549375, 0
1.3825625, 1
1.3825758125, 0
1.3825889375, 1
1.3826021875, 0
1.382615375, 1
1.382628625, 0
1.38264175, 1
1.3826550625, 0
1.3826681875, 1
1.3826814375, 0
1.3826945625, 1
1.382707875, 0
1.382721, 1
1.38273425, 0
1.382747375, 1
1.3827606875, 0
1.3827738125, 1
1.3827870625, 0
1.38280025, 1
1.3828135, 0
1.382826625, 1
1.3828399375, 0
1.3828530625, 1
1.3828663125, 0
1.3828794375, 1
1.38289275, 0
1.384194, 1
1.38420725, 0
1.384220375, 1
1.3842336875, 0
1.3842468125, 1
1.3842600625, 0
1.3842731875, 1
1.3842865, 0
1.384299625, 1
1.384312875, 0
1.384326, 1
1.3843393125, 0
1.3843524375, 1
1.3843656875, 0
1.3843788125, 1
